index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length
"(1, 9, 8, 10, 3, 12, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.5611111111111111,0.0,0.0,1.0,false,4.945515676282139,774281.294934154,24.464375468220982,1.056196015543272,7,2.7270562633079325,8.243310675430342,25.14600000000001,8.687309442142071,35.68331832885764,31.24200000000001,0.0,48.45245084100019
"(1, 9, 8, 10, 3, 13, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.5972222222222222,0.0,0.0,1.0,false,4.996210240486798,779675.036081912,24.717038753208676,1.0667143750989923,7,3.4464441459458484,8.269816269781193,25.14600000000001,8.751174547564617,35.807079858900515,31.24200000000001,0.0,48.53695438828315
"(1, 9, 8, 10, 3, 14, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.6333333333333333,0.0,0.0,1.0,false,5.059190744961967,786432.7435125597,25.034793759896484,1.0797819170171215,7,4.394775891565176,8.302893919061242,25.14600000000001,8.828711685014946,35.96152802674511,31.24200000000001,0.0,48.64195378114706
"(1, 9, 8, 10, 3, 15, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.6694444444444444,0.0,0.0,1.0,false,5.139095845958758,795093.4258006446,25.443971114274976,1.096361164006335,7,5.67989174525991,8.345076819512913,25.14600000000001,8.924539584858687,36.15849098605252,31.24200000000001,0.0,48.77519467849135
"(1, 9, 8, 10, 3, 16, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.7055555555555556,0.0,0.0,1.0,false,5.243300528328908,806527.4410005817,25.987503104662135,1.1179822303358389,7,7.484099386596983,8.400413722045416,25.14600000000001,9.045803443789948,36.4168734103288,31.24200000000001,0.0,48.94899397948863
"(1, 9, 8, 10, 3, 17, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.7416666666666667,0.0,0.0,1.0,false,5.384286888857435,822235.7180278301,26.74035575910993,1.1472344058198103,7,10.137681117967254,8.475795425912041,25.14600000000001,9.204231193662443,36.768850237721594,31.24200000000001,0.0,49.18420199132466
"(1, 9, 8, 10, 3, 18, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.7777777777777778,0.0,0.0,1.0,false,5.585021287564969,845045.4472261099,27.84610082976103,1.1888844963553358,7,14.296527938355915,8.583976322771193,25.14600000000001,9.420659638380245,37.273975047958885,31.24200000000001,0.0,49.51921985762568
"(1, 9, 8, 10, 3, 19, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.8138888888888889,0.0,0.0,1.0,false,5.893010645516941,880985.6142734631,29.618122626296582,1.2528013698611058,7,21.441411562166234,8.751494704706879,25.14600000000001,9.736457078091185,38.05616204532395,31.24200000000001,0.0,50.03359245907645
"(1, 9, 8, 10, 3, 20, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.85,0.0,0.0,1.0,false,6.425694732803759,945596.8889513018,32.89340452262796,1.3633672150021965,7,35.633080649760494,9.044242765137957,25.14600000000001,10.248836554877329,39.423079059009915,31.24200000000001,0.0,50.92397085486788
"(1, 9, 8, 10, 4, 1, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.2,0.0,0.0,1.0,false,4.73778554980691,751424.7131542852,23.402230326690542,1.0135704162276837,7,0.17006528266291634,8.129951887445555,25.14600000000001,8.277860515001027,35.15401659507653,31.24200000000001,0.0,48.11012545790482
