index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle
"(2, 1, 3, 2, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.7763157894736842,2,0.3,500000.0,0.0,5.166390352789826,749867.1627542593,21.85192137191312,1.0871030000833874,7,0.9407272454137185
"(2, 1, 3, 3, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.8026315789473685,2,0.3,500000.0,0.0,5.144473631101372,743726.9968232398,22.469953322535215,1.0824601367588307,7,0.9348486531383259
"(2, 1, 3, 4, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.8289473684210527,2,0.3,500000.0,0.0,5.125985277868034,738288.8441585647,23.09465724121351,1.0786952631555438,7,0.9298971155792191
"(2, 1, 3, 5, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.8552631578947368,2,0.3,500000.0,0.0,5.111768420245129,733547.3441143841,23.73000081288731,1.0760366510733217,7,0.9260910342077531
"(2, 1, 3, 6, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.881578947368421,2,0.3,500000.0,0.0,5.102814160418802,729516.3307923828,24.380716059902696,1.0747434874145096,7,0.9236880585039517
"(2, 1, 3, 7, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.9078947368421053,2,0.3,500000.0,0.0,5.100636074913387,726242.7941861268,25.053188098719673,1.075148749508701,7,0.923085280303601
"(2, 1, 3, 8, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.9342105263157895,2,0.3,500000.0,0.0,5.107249440906225,723803.9291607741,25.755594934750622,1.0776583280588752,7,0.9248156109510982
"(2, 1, 3, 9, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.9605263157894737,2,0.3,500000.0,0.0,5.124690021974414,722282.914566007,26.496877255272786,1.0826872240796077,7,0.9294237798324411
"(2, 1, 3, 10, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.9868421052631579,2,0.3,500000.0,0.0,5.154284462894187,721728.365587245,27.284562918371172,1.0905295760106657,7,0.9372773095199237
"(2, 1, 3, 11, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,1.013157894736842,2,0.3,500000.0,0.0,5.1965627868871165,722142.7219880812,28.12386287464257,1.1013023577756798,7,0.9485449257595824
"(2, 1, 3, 12, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,1.0394736842105263,2,0.3,500000.0,0.0,5.252196349957149,723545.1291213853,29.021033288173477,1.115175719637426,7,0.9634474165677265
