index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles
"(1, 2, 1, 1, 1, 1, 7, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,452631.5789473684,1.0,5.473070130427923,751055.9878543885,24.01782930463756,1.1490952894837585,6,0.41984238425083464,6.399410499619214,32.14882956681434,3.8579976476065596
"(1, 2, 1, 1, 1, 1, 8, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,494736.84210526315,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 8, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,494736.84210526315,1.0,5.457284650324761,749164.0245595783,23.927805840965547,1.1457593418741823,6,0.4180640112244621,6.392048933873309,31.877099390915255,3.853099485184187
"(1, 2, 1, 1, 1, 1, 9, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,536842.1052631579,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 9, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,536842.1052631579,1.0,5.443996134150981,747573.8109565242,23.85222224384905,1.1429512556389747,6,0.4165689148627252,6.3858539970379615,31.647993556333667,3.848977562231484
"(1, 2, 1, 1, 1, 1, 10, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,578947.3684210526,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 10, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,578947.3684210526,1.0,5.432655732902742,746218.5100906829,23.787863322788894,1.140554976100893,6,0.41529443423393714,6.3805687976170065,31.45221220678213,3.8454609509436115
"(1, 2, 1, 1, 1, 1, 11, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,621052.6315789474,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 11, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,621052.6315789474,1.0,5.422864289649222,745049.6377301575,23.73240113211935,1.13848608350618,6,0.41419508239768693,6.3760066052857205,31.282977480898595,3.8424254066297987
"(1, 2, 1, 1, 1, 1, 12, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,663157.8947368421,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 12, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,663157.8947368421,1.0,5.414324865234409,744031.2218633855,23.6841109907063,1.136681812524105,6,0.4132371055879454,6.372028617921374,31.13523287893678,3.8397785745702535
"(1, 2, 1, 1, 1, 1, 13, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,705263.1578947369,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 13, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,705263.1578947369,1.0,5.4068428622421685,743137.8837121942,23.641775795946817,1.135100646692758,6,0.4123983488089459,6.368536775242394,31.005129423477868,3.8374552084297635
"(1, 2, 1, 1, 1, 1, 14, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,747368.4210526316,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 14, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,747368.4210526316,1.0,5.400221115886887,742347.1813885858,23.60432380847183,1.13370121379497,6,0.41165652300594746,6.365444257561137,30.88968551229602,3.8353975410231693
"(1, 2, 1, 1, 1, 1, 15, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,789473.6842105263,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 15, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,789473.6842105263,1.0,5.394310321685475,741641.8047553799,23.570928978388473,1.1324520399027949,6,0.41099470942681865,6.362684011202718,30.7865556183069,3.833560956870291
"(1, 2, 1, 1, 1, 1, 16, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,831578.947368421,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 16, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,831578.947368421,1.0,5.389001950102605,741008.6735542346,23.5409670572476,1.131330211027989,6,0.41040065743256665,6.36020530838094,30.693869257886295,3.831911703241793
"(1, 2, 1, 1, 1, 1, 17, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,873684.2105263158,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 17, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,873684.2105263158,1.0,5.384208328382806,740437.2223378161,23.513934264450135,1.1303171825496525,6,0.40986445752421274,6.357967135770038,30.610116522566475,3.8304224911154736
